"dataset_type","question","isotype","Model","ROC","ROC_low","ROC_high","AUPRC","Brier"
"cross_sectional","flavi_vs_not","IgG","GLMnet",0.68,0.512665019928422,0.847334980071578,0.63077380952381,0.230900868609642
"cross_sectional","flavi_vs_not","IgG","Random Forest",0.63,0.4928,0.7672,0.604559523809524,0.240938214285714
"cross_sectional","flavi_vs_not","IgG","XGBoost",0.573333333333333,0.45942077427547,0.687245892391196,0.564369047619048,0.244452797572926
"cross_sectional","flavi_vs_not","IgG","PLS-DA",0.666666666666667,0.464238737104892,0.869094596228441,0.628880952380952,0.228625531903677
"cross_sectional","flavi_vs_not","IgA","GLMnet",0.843333333333333,0.740239072258011,0.946427594408655,0.682928571428571,0.199722740140227
"cross_sectional","flavi_vs_not","IgA","Random Forest",0.743333333333333,0.564529952803521,0.922136713863146,0.62627380952381,0.187414428571429
"cross_sectional","flavi_vs_not","IgA","XGBoost",0.79,0.639733333333333,0.940266666666667,0.657654761904762,0.206723838802331
"cross_sectional","flavi_vs_not","IgA","PLS-DA",0.773333333333333,0.63880376615777,0.907862900508897,0.668416666666667,0.19476401756654
"cross_sectional","flavi_vs_not","IgM","GLMnet",0.623333333333333,0.449369914445594,0.797296752221073,0.568940476190476,0.259079235212953
"cross_sectional","flavi_vs_not","IgM","Random Forest",0.606666666666667,0.410231593989261,0.803101739344073,0.55547619047619,0.2346073
"cross_sectional","flavi_vs_not","IgM","XGBoost",0.616666666666667,0.448187719745826,0.785145613587508,0.58097619047619,0.256294933129984
"cross_sectional","flavi_vs_not","IgM","PLS-DA",0.7,0.57264188722783,0.82735811277217,0.626595238095238,0.243417771299409
"cross_sectional","flavi_vs_not","avidity","GLMnet",0.706666666666667,0.572137099491103,0.84119623384223,0.62772619047619,0.238596140345889
"cross_sectional","flavi_vs_not","avidity","Random Forest",0.636666666666667,0.482612938665326,0.790720394668008,0.60525,0.240441014285714
"cross_sectional","flavi_vs_not","avidity","XGBoost",0.773333333333333,0.652158051658856,0.89450861500781,0.665821428571429,0.238424228861267
"cross_sectional","flavi_vs_not","avidity","PLS-DA",0.713333333333333,0.50508493464668,0.921581732019987,0.627166666666667,0.213715962500103
"cross_sectional","dengue_vs_not","IgG","GLMnet",0.651666666666667,0.486191378145658,0.817141955187675,0.595678571428571,0.240311733486983
"cross_sectional","dengue_vs_not","IgG","Random Forest",0.536666666666667,0.367429371066015,0.705903962267318,0.533190476190476,0.251057714285714
"cross_sectional","dengue_vs_not","IgG","XGBoost",0.61,0.469647333081587,0.750352666918414,0.55918253968254,0.326072664689069
"cross_sectional","dengue_vs_not","IgG","PLS-DA",0.715,0.4751501302898,0.9548498697102,0.62502380952381,0.21988861575444
"cross_sectional","dengue_vs_not","IgA","GLMnet",0.703333333333333,0.555645313808691,0.851021352857976,0.594797619047619,0.228890791716696
"cross_sectional","dengue_vs_not","IgA","Random Forest",0.806666666666667,0.731037865568437,0.882295467764896,0.656619047619048,0.189747610148146
"cross_sectional","dengue_vs_not","IgA","XGBoost",0.805,0.615956219062591,0.994043780937409,0.635904761904762,0.19600617750623
"cross_sectional","dengue_vs_not","IgA","PLS-DA",0.821666666666667,0.705069087122512,0.938264246210822,0.635785714285714,0.189014121274143
"cross_sectional","dengue_vs_not","IgM","GLMnet",0.653333333333333,0.585279955590401,0.721386711076266,0.555845238095238,0.306945275896459
"cross_sectional","dengue_vs_not","IgM","Random Forest",0.566666666666667,0.434780688977182,0.698552644356151,0.505642857142857,0.2504366
"cross_sectional","dengue_vs_not","IgM","XGBoost",0.58,0.322906899699307,0.837093100300693,0.558630952380952,0.293272527777693
"cross_sectional","dengue_vs_not","IgM","PLS-DA",0.5875,0.393655603640446,0.781344396359554,0.54197619047619,0.262904771158931
"cross_sectional","dengue_vs_not","avidity","GLMnet",0.75,0.595738605679263,0.904261394320737,0.632178571428571,0.212945345729185
"cross_sectional","dengue_vs_not","avidity","Random Forest",0.753333333333333,0.705546119794796,0.801120546871871,0.626492063492064,0.199905273015873
"cross_sectional","dengue_vs_not","avidity","XGBoost",0.793333333333333,0.707774101089103,0.878892565577564,0.639178571428571,0.192761640241406
"cross_sectional","dengue_vs_not","avidity","PLS-DA",0.715,0.630697212382982,0.799302787617018,0.573952380952381,0.220827550084934
"cross_sectional","chik_vs_not","IgG","GLMnet",0.935555555555555,0.873422063265185,0.997689047845926,0.455555555555556,0.103958456398815
"cross_sectional","chik_vs_not","IgG","Random Forest",0.91,0.7336,1.0864,0.4825,0.109401893650794
"cross_sectional","chik_vs_not","IgG","XGBoost",0.911111111111111,0.784125936512258,1.03809628570996,0.436111111111111,0.108776580329491
"cross_sectional","chik_vs_not","IgG","PLS-DA",0.96,0.8816,1.0384,0.516666666666667,0.13606922219157
"cross_sectional","chik_vs_not","IgA","GLMnet",0.972222222222222,0.937788532144833,1.00665591229961,0.472222222222222,0.0613413894788925
"cross_sectional","chik_vs_not","IgA","Random Forest",0.963333333333333,0.919022110776915,1.00764455588975,0.45,0.0884712857142857
"cross_sectional","chik_vs_not","IgA","XGBoost",0.991666666666667,0.975333333333333,1.008,0.416666666666667,0.082890750038929
"cross_sectional","chik_vs_not","IgA","PLS-DA",0.972222222222222,0.937788532144833,1.00665591229961,0.472222222222222,0.151770516691589
"cross_sectional","chik_vs_not","IgM","GLMnet",0.906666666666667,0.831037865568437,0.982295467764896,0.386666666666667,0.129351584143268
"cross_sectional","chik_vs_not","IgM","Random Forest",0.64,0.501947095487112,0.778052904512888,0.22,0.193012471428571
"cross_sectional","chik_vs_not","IgM","XGBoost",0.75,0.620977004633541,0.879022995366459,0.253333333333333,0.244150772460474
"cross_sectional","chik_vs_not","IgM","PLS-DA",0.886666666666667,0.76339597987446,1.00993735345887,0.455555555555556,0.175482693000894
"cross_sectional","chik_vs_not","avidity","GLMnet",0.893333333333333,0.807152747739284,0.979513918927383,0.483333333333333,0.187345198923462
"cross_sectional","chik_vs_not","avidity","Random Forest",0.932222222222222,0.860124949110658,1.00431949533379,0.455555555555556,0.094032480952381
"cross_sectional","chik_vs_not","avidity","XGBoost",0.96,0.8816,1.0384,0.516666666666667,0.0947936117032654
"cross_sectional","chik_vs_not","avidity","PLS-DA",0.89,0.778933333333333,1.00106666666667,0.441666666666667,0.159506381776484
"cross_sectional","dengue_vs_chik","IgG","GLMnet",1,1,1,0.78,0.0653682696762618
"cross_sectional","dengue_vs_chik","IgG","Random Forest",0.94,0.8224,1.0576,0.678619047619048,0.106268304761905
"cross_sectional","dengue_vs_chik","IgG","XGBoost",0.98,0.9408,1.0192,0.682666666666667,0.0730407566761483
"cross_sectional","dengue_vs_chik","IgG","PLS-DA",0.98,0.9408,1.0192,0.772666666666667,0.133557005004295
"cross_sectional","dengue_vs_chik","IgA","GLMnet",0.975,0.926,1.024,0.76875,0.147202688423081
"cross_sectional","dengue_vs_chik","IgA","Random Forest",0.95,0.889987501301812,1.01001249869819,0.7575,0.106857252380952
"cross_sectional","dengue_vs_chik","IgA","XGBoost",0.933333333333333,0.838094452384193,1.02857221428247,0.750416666666667,0.0919591574612874
"cross_sectional","dengue_vs_chik","IgA","PLS-DA",0.93,0.873278399176328,0.986721600823672,0.750166666666667,0.151980872478231
"cross_sectional","dengue_vs_chik","IgM","GLMnet",0.831666666666667,0.758914545659021,0.904418787674312,0.703178571428571,0.18996768670235
"cross_sectional","dengue_vs_chik","IgM","Random Forest",0.685,0.5184,0.8516,0.608904761904762,0.2031268
"cross_sectional","dengue_vs_chik","IgM","XGBoost",0.798333333333333,0.593130496012685,1.00353617065398,0.689738095238095,0.166951029494935
"cross_sectional","dengue_vs_chik","IgM","PLS-DA",0.841666666666667,0.688969653671069,0.994363679662265,0.697035714285714,0.198377968634708
"cross_sectional","dengue_vs_chik","avidity","GLMnet",0.94,0.8616,1.0184,0.760285714285714,0.194543272583505
"cross_sectional","dengue_vs_chik","avidity","Random Forest",0.96,0.8816,1.0384,0.723666666666667,0.082206419047619
"cross_sectional","dengue_vs_chik","avidity","XGBoost",0.96,0.8816,1.0384,0.607619047619048,0.073702345214768
"cross_sectional","dengue_vs_chik","avidity","PLS-DA",0.876666666666667,0.71411922401957,1.03921410931376,0.708988095238095,0.16301104709973
