"dataset_type","question","isotype","Model","ROC","ROC_low","ROC_high","AUPRC","Brier"
"ratio","flavi_vs_not","IgG","GLMnet",0.956666666666667,0.902396724095602,1.01093660923773,0.732416666666667,0.191912544256579
"ratio","flavi_vs_not","IgG","Random Forest",0.96,0.923331757609615,0.996668242390385,0.684166666666667,0.122952547619048
"ratio","flavi_vs_not","IgG","XGBoost",0.975,0.926,1.024,0.55875,0.179945097966375
"ratio","flavi_vs_not","IgG","PLS-DA",0.933333333333333,0.838094452384193,1.02857221428247,0.725535714285714,0.153342358445871
"ratio","flavi_vs_not","IgA","GLMnet",0.916666666666667,0.8133655964345,1.01996773689883,0.723333333333333,0.192460028459747
"ratio","flavi_vs_not","IgA","Random Forest",0.983333333333333,0.950666666666667,1.016,0.69875,0.113133771428571
"ratio","flavi_vs_not","IgA","XGBoost",0.936666666666667,0.876079025829428,0.997254307503905,0.523083333333333,0.194450391505601
"ratio","flavi_vs_not","IgA","PLS-DA",0.966666666666667,0.901333333333333,1.032,0.734166666666667,0.129807925389102
"ratio","flavi_vs_not","IgM","GLMnet",0.825,0.682609301177671,0.967390698822329,0.673035714285714,0.213010183565498
"ratio","flavi_vs_not","IgM","Random Forest",0.566666666666667,0.322211717397436,0.811121615935897,0.552642857142857,0.242958123809524
"ratio","flavi_vs_not","IgM","XGBoost",0.696666666666667,0.422889595960509,0.970443737372824,0.606535714285714,0.251596215588926
"ratio","flavi_vs_not","IgM","PLS-DA",0.726666666666667,0.675431002004897,0.777902331328437,0.60075,0.210993176376818
"ratio","flavi_vs_not","avidity","GLMnet",0.961666666666667,0.91223302989529,1.01110030343804,0.741416666666667,0.110308624913394
"ratio","flavi_vs_not","avidity","Random Forest",0.983333333333333,0.950666666666667,1.016,0.74875,0.0944236571428572
"ratio","flavi_vs_not","avidity","XGBoost",0.916666666666667,0.753333333333333,1.08,0.665952380952381,0.138070300596939
"ratio","flavi_vs_not","avidity","PLS-DA",0.931666666666667,0.874523338097183,0.98880999523615,0.725119047619048,0.171818763274764
"ratio","dengue_vs_not","IgG","GLMnet",0.933333333333333,0.872219596016026,0.994447070650641,0.709166666666667,0.179027199323051
"ratio","dengue_vs_not","IgG","Random Forest",0.95,0.884666666666667,1.01533333333333,0.670416666666667,0.107971733333333
"ratio","dengue_vs_not","IgG","XGBoost",0.933333333333333,0.802666666666667,1.064,0.709166666666667,0.132852629548499
"ratio","dengue_vs_not","IgG","PLS-DA",0.933333333333333,0.802666666666667,1.064,0.69625,0.151607070974187
"ratio","dengue_vs_not","IgA","GLMnet",0.95,0.852,1.048,0.731666666666667,0.180903401915001
"ratio","dengue_vs_not","IgA","Random Forest",0.95,0.852,1.048,0.717083333333333,0.102369333333333
"ratio","dengue_vs_not","IgA","XGBoost",0.933333333333333,0.838094452384193,1.02857221428247,0.542083333333333,0.185437034980924
"ratio","dengue_vs_not","IgA","PLS-DA",0.916666666666667,0.8133655964345,1.01996773689883,0.708452380952381,0.184031899765618
"ratio","dengue_vs_not","IgM","GLMnet",0.841666666666667,0.681633336804833,1.0016999965285,0.665,0.212004573656931
"ratio","dengue_vs_not","IgM","Random Forest",0.633333333333333,0.457417949633606,0.80924871703306,0.625535714285714,0.233638914804767
"ratio","dengue_vs_not","IgM","XGBoost",0.616666666666667,0.388,0.845333333333333,0.544107142857143,0.279332012888688
"ratio","dengue_vs_not","IgM","PLS-DA",0.9,0.779975002603624,1.02002499739638,0.693333333333333,0.201540878971956
"ratio","dengue_vs_not","avidity","GLMnet",0.966666666666667,0.901333333333333,1.032,0.731666666666667,0.110914919210196
"ratio","dengue_vs_not","avidity","Random Forest",0.95,0.852,1.048,0.717083333333333,0.0886009904761905
