"dataset_type","question","isotype","Model","Accuracy","AUC_Macro","AUC_Micro","AUPRC_Macro","AUPRC_Micro","Brier","StratBrier","n_predictions","coverage"
"ratio","dengue_serotype","IgG","GLMnet",0.473684210526316,0.545797720797721,0.788550323176362,0.341444210387709,0.501519269453539,0.152950510566155,0.755464298502475,21,1
"ratio","dengue_serotype","IgG","PLS-DA",0.428571428571429,0.528203083466241,0.686318972033258,0.286215333120325,0.467616312042461,0.172928665797647,0.760003037722601,21,1
"ratio","dengue_serotype","IgG","Random Forest",0.428571428571429,0.323329789119263,0.645502645502645,0.228326394824073,0.41993726205176,0.175020111327535,0.91759383668043,21,1
"ratio","dengue_serotype","IgG","XGBoost",0.523809523809524,0.625181640971115,0.732426303854875,0.341017163467338,0.541901686847669,0.152968602636017,0.84238450740998,21,1
"ratio","dengue_serotype","IgA","GLMnet",0.578947368421053,0.530270655270655,0.773776546629732,0.375403753882856,0.534970775191458,0.148402963725991,0.733756030355498,21,1
"ratio","dengue_serotype","IgA","PLS-DA",0.571428571428571,0.649884813042708,0.783824640967498,0.339965867465867,0.579634242617231,0.157723847754712,0.71279074248915,21,1
"ratio","dengue_serotype","IgA","Random Forest",0.476190476190476,0.551643629275208,0.713907785336357,0.293281521719022,0.495958053718564,0.159981333333333,0.846414866666667,21,1
"ratio","dengue_serotype","IgA","XGBoost",0.428571428571429,0.503101187311714,0.631897203325775,0.271977943045087,0.414344536760023,0.203041111056017,1.02714303275431,21,1
"ratio","dengue_serotype","IgM","GLMnet",0.473684210526316,0.491096866096866,0.766389658356417,0.379176377863813,0.576429225580188,0.152560685287099,0.747930482287471,21,1
"ratio","dengue_serotype","IgM","PLS-DA",0.619047619047619,0.629129009392167,0.746031746031746,0.358053266178266,0.577545145925298,0.157032124909816,0.71303670923181,21,1
"ratio","dengue_serotype","IgM","Random Forest",0.476190476190476,0.507132730816941,0.687830687830688,0.30523719132175,0.527370055257732,0.161923631728575,0.870782989607269,21,1
"ratio","dengue_serotype","IgM","XGBoost",0.476190476190476,0.487014885699096,0.666666666666666,0.306720556812469,0.520562846985444,0.170056121660667,0.930215701720871,21,1
"ratio","dengue_serotype","avidity","GLMnet",0.473684210526316,0.42710113960114,0.734995383194829,0.311366539783077,0.457865465080248,0.169551512615163,0.842266980904128,21,1
"ratio","dengue_serotype","avidity","PLS-DA",0.380952380952381,0.411802232854864,0.64474678760393,0.247298528032855,0.408838446202284,0.178884003965251,0.78090930222631,21,1
"ratio","dengue_serotype","avidity","Random Forest",0.380952380952381,0.525956937799043,0.665154950869236,0.276033746382044,0.408828130710643,0.173927305608466,0.882553844407407,21,1
"ratio","dengue_serotype","avidity","XGBoost",0.571428571428571,0.595875420875421,0.730914588057445,0.375194098664493,0.527954852784977,0.153756429262374,0.86816018961939,21,1
"ratio","dengue_serotype_neg","IgG","GLMnet",0.735294117647059,0.712792566092651,0.881920415224913,0.456512737267818,0.723288689011503,0.0865107244625018,0.66647021982806,36,1
"ratio","dengue_serotype_neg","IgG","PLS-DA",0.666666666666667,0.49511899864841,0.821952160493826,0.305400731801461,0.623674432023516,0.135633142089671,0.76781016735896,36,1
"ratio","dengue_serotype_neg","IgG","Random Forest",0.666666666666667,0.48957264957265,0.809220679012346,0.320752992707327,0.599202572691962,0.103458961,0.905926445214815,36,1
"ratio","dengue_serotype_neg","IgG","XGBoost",0.583333333333333,0.619194269782505,0.818479938271605,0.31642497750641,0.563239395728468,0.109843936809105,0.935975461120069,36,1
"ratio","dengue_serotype_neg","IgA","GLMnet",0.705882352941177,0.675588416606031,0.86440311418685,0.43161985064235,0.640202381048737,0.098590064200219,0.77029802513359,36,1
"ratio","dengue_serotype_neg","IgA","PLS-DA",0.694444444444444,0.471561836855954,0.824266975308641,0.337582629146384,0.631197232752415,0.133821458623781,0.757589258786915,36,1
"ratio","dengue_serotype_neg","IgA","Random Forest",0.666666666666667,0.665363590657708,0.840181327160494,0.396834455087396,0.676272411179042,0.0920641333333333,0.840384693333333,36,1
"ratio","dengue_serotype_neg","IgA","XGBoost",0.666666666666667,0.65997159703042,0.835648148148148,0.34706871207074,0.595680559182772,0.107682863990263,0.97130831108499,36,1
"ratio","dengue_serotype_neg","IgM","GLMnet",0.676470588235294,0.756144898536664,0.869160899653979,0.526207817165634,0.752999527987946,0.0858077118376773,0.648608645586697,36,1
"ratio","dengue_serotype_neg","IgM","PLS-DA",0.666666666666667,0.722606935548112,0.86226851851852,0.417676511731053,0.693240747379377,0.126905273087601,0.722939551844276,36,1
"ratio","dengue_serotype_neg","IgM","Random Forest",0.555555555555556,0.499457209457209,0.784336419753086,0.333402560903903,0.581459049224298,0.114114566728395,0.873981991274074,36,1
"ratio","dengue_serotype_neg","IgM","XGBoost",0.555555555555556,0.526558474205533,0.766975308641975,0.335944826920757,0.579117996238625,0.112279285180612,0.902897450617003,36,1
"ratio","dengue_serotype_neg","avidity","GLMnet",0.705882352941177,0.628549195569569,0.862889273356401,0.41890917837609,0.666325619403105,0.0995978584289256,0.750861767081488,36,1
"ratio","dengue_serotype_neg","avidity","PLS-DA",0.666666666666667,0.530739783092724,0.817515432098765,0.318159323333783,0.595512192613943,0.136318567400136,0.773869033780604,36,1
"ratio","dengue_serotype_neg","avidity","Random Forest",0.638888888888889,0.526432456432457,0.815393518518519,0.34145824334182,0.649305831250546,0.106127996558894,0.892231914587335,36,1
"ratio","dengue_serotype_neg","avidity","XGBoost",0.583333333333333,0.646573557161793,0.842978395061728,0.363016800536924,0.619791231687351,0.10339135041903,0.895105793022157,36,1
